base_file,base_id,base_state,compare_file,compare_id,compare_state,compare_J,compare_P,compare_Ex,orbital,dN,dZ,dTotal
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,12,1+(2)(J=1+),1,+,7.564,0d5,-0.074120,-0.636860,-0.710980
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,12,1+(2)(J=1+),1,+,7.564,1s1,-0.006780,0.525406,0.518626
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,13,2+(5)(J=2+),2,+,7.673,0d3,-0.085310,0.802250,0.716940
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,13,2+(5)(J=2+),2,+,7.673,0d5,-0.040300,-0.697410,-0.737710
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,13,2+(5)(J=2+),2,+,7.673,1s1,0.125600,-0.104837,0.020763
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,14,3+(3)(J=3+),3,+,7.815,0d3,-0.193680,0.522623,0.328943
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,14,3+(3)(J=3+),3,+,7.815,0d5,-0.027130,-0.602680,-0.629810
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,14,3+(3)(J=3+),3,+,7.815,1s1,0.220810,0.080055,0.300865
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,15,1+(3)(J=1+),1,+,7.913,0d3,0.148170,0.364104,0.512274
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,15,1+(3)(J=1+),1,+,7.913,0d5,-0.114450,-0.654780,-0.769230
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,15,1+(3)(J=1+),1,+,7.913,1s1,-0.033720,0.290673,0.256953
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,16,2+(6)(J=2+),2,+,8.154,0d3,-0.056750,0.105216,0.048466
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,16,2+(6)(J=2+),2,+,8.154,0d5,-0.193130,-0.646580,-0.839710
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,16,2+(6)(J=2+),2,+,8.154,1s1,0.249880,0.541369,0.791249
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,17,5+(1)(J=5+),5,+,8.331,0d3,0.033440,0.215778,0.249218
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,17,5+(1)(J=5+),5,+,8.331,0d5,-0.015930,-0.597800,-0.613730
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,17,5+(1)(J=5+),5,+,8.331,1s1,-0.017510,0.382025,0.364515
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,18,0+(4)(J=0+),0,+,8.401,0d3,-0.253080,0.421214,0.168134
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,18,0+(4)(J=0+),0,+,8.401,0d5,0.001230,-1.087890,-1.086660
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,18,0+(4)(J=0+),0,+,8.401,1s1,0.251850,0.666681,0.918531
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,19,2+(7)(J=2+),2,+,8.453,0d3,0.024850,0.527120,0.551970
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,19,2+(7)(J=2+),2,+,8.453,0d5,-0.025020,-0.957730,-0.982750
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,19,2+(7)(J=2+),2,+,8.453,1s1,0.000170,0.430615,0.430785
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,20,4+(3)(J=4+),4,+,8.486,0d3,-0.144070,0.147864,0.003794
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,20,4+(3)(J=4+),4,+,8.486,0d5,-0.156940,-0.658490,-0.815430
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,20,4+(3)(J=4+),4,+,8.486,1s1,0.301010,0.510623,0.811633
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,21,1+(4)(J=1+),1,+,8.568,0d3,0.143680,0.539090,0.682770
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,21,1+(4)(J=1+),1,+,8.568,0d5,-0.158630,-0.740480,-0.899110
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,21,1+(4)(J=1+),1,+,8.568,1s1,0.014950,0.201394,0.216344
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,22,2+(8)(J=2+),2,+,8.670,0d3,0.383330,0.114752,0.498082
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,22,2+(8)(J=2+),2,+,8.670,0d5,-0.186820,-0.749300,-0.936120
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,22,2+(8)(J=2+),2,+,8.670,1s1,-0.196510,0.634541,0.438031
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,23,4+(4)(J=4+),4,+,8.753,0d3,-0.117130,0.037925,-0.079205
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,23,4+(4)(J=4+),4,+,8.753,0d5,0.039450,-0.620380,-0.580930
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,23,4+(4)(J=4+),4,+,8.753,1s1,0.077680,0.582461,0.660141
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,24,3+(4)(J=3+),3,+,9.010,0d3,0.101360,0.538982,0.640342
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,24,3+(4)(J=3+),3,+,9.010,0d5,-0.056930,-0.895150,-0.952080
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,24,3+(4)(J=3+),3,+,9.010,1s1,-0.044430,0.356170,0.311740
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,25,0+(5)(J=0+),0,+,9.149,0d3,-0.012010,0.668198,0.656188
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,25,0+(5)(J=0+),0,+,9.149,0d5,0.021700,-1.097330,-1.075630
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,25,0+(5)(J=0+),0,+,9.149,1s1,-0.009680,0.429137,0.419457
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,26,1+(5)(J=1+),1,+,9.251,0d3,0.291940,0.411054,0.702994
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,26,1+(5)(J=1+),1,+,9.251,0d5,-0.126700,-0.738660,-0.865360
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,26,1+(5)(J=1+),1,+,9.251,1s1,-0.165240,0.327611,0.162371
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,27,4+(5)(J=4+),4,+,9.325,0d3,0.037350,0.535897,0.573247
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,27,4+(5)(J=4+),4,+,9.325,0d5,-0.039060,-0.634800,-0.673860
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,27,4+(5)(J=4+),4,+,9.325,1s1,0.001710,0.098907,0.100617
32Si_fsu9+.xml,0,0+(1)(J=0+),32Si_fsu9+.xml,28,2+(9)(J=2+),2,+,9.379,0d3,0.112960,0.492010,0.604970
